Name,Price,Reviews,Weight,Class_info,Rating,Grocery,Sports-Nutrition
"Optimum Nutrition, Gold Standard 100% Whey, Double Rich Chocolate, 5 lbs (2.27 kg)",105.53,19762.0,2270.0,Sports-Nutrition,4.6,0,1
"California Gold Nutrition, L-Glutamine Powder, AjiPure, Gluten Free, 16 oz (454 g)",24.12,4875.0,454.0,Sports-Nutrition,4.6,0,1
"Now Foods, L-Arginine, Double Strength, 1,000 mg, 120 Tablets",25.05,5490.0,0.0,Sports-Nutrition,4.6,0,1
"Naturade, Total Soy, Weight Loss Shake, Chocolate, 1.2 lbs (540 g)",25.99,9127.0,540.0,Sports-Nutrition,4.4,0,1
"California Gold Nutrition, Foods, Variety Pack Snack Bars, 12 Bars, 1.4 oz (40 g) Each",11.3,24269.0,40.0,Sports-Nutrition,4.7,0,1
"Now Foods, L-Carnitine, 1000 mg, 100 Tablets",47.26,2957.0,1.0,Sports-Nutrition,4.7,0,1
"Sports Research, Omega-3 Fish Oil, Triple Strength, 1,250 mg, 30 Softgels",14.7,26448.0,0.25,Sports-Nutrition,4.7,0,1
"Muscletech, Nitro Tech, 100% Whey Gold, Double Rich Chocolate, 5.54 lbs (2.51 kg)",87.43,4193.0,2510.0,Sports-Nutrition,4.6,0,1
"Quest Nutrition, Protein Cookie, Chocolate Chip, 12 Pack, 2.08 oz (59 g) Each",44.26,1887.0,59.0,Sports-Nutrition,4.3,0,1
"California Gold Nutrition, BCAA, AjiPure® Branched Chain Amino Acids, 500 mg, 60 Veggie Caps",7.54,1591.0,0.5,Sports-Nutrition,4.7,0,1
"Sports Research, SUPERBA 2 Antarctic Krill Oil with Astaxanthin, 1,000 mg, 60 Softgels",42.27,3541.0,0.0,Sports-Nutrition,4.5,0,1
"Quest Nutrition, Tortilla Style Protein Chips, Nacho Cheese, 12 Bags, 1.1 oz (32 g ) Each",49.01,2922.0,32.0,Sports-Nutrition,4.5,0,1
"ALLMAX Nutrition, Caffeine , 200 mg, 100 Tablets",10.15,3324.0,0.2,Sports-Nutrition,4.7,0,1
"Lake Avenue Nutrition, Whey Protein + Probiotics, Vanilla Flavor, 5 lb (2,270 g)",90.46,454.0,270.0,Sports-Nutrition,4.6,0,1
"Cellucor, C4 Sport, Pre-Workout, Blue Raspberry, 9.5 oz (270 g)",30.14,1155.0,270.0,Sports-Nutrition,4.6,0,1
"California Gold Nutrition, L-Arginine, AjiPure, 500 mg, 60 Veggie Capsules",7.54,2036.0,0.5,Sports-Nutrition,4.7,0,1
"BNRG, Power Crunch Protein Energy Bar, Triple Chocolate, 12 Bars, 1.4 oz (40 g) Each",31.0,3302.0,40.0,Sports-Nutrition,4.5,0,1
"Sports Research, Omega-3 Fish Oil, Triple Strength, 1,250 mg, 90 Softgels",33.85,26448.0,0.25,Sports-Nutrition,4.7,0,1
"Muscletech, Essential Series, Platinum 100% Glutamine, Unflavored, 5 g, 10.58 oz (300 g)",22.6,893.0,5.0,Sports-Nutrition,4.6,0,1
"Now Foods, Sports, Pea Protein, Pure Unflavored, 2 lbs (907 g)",30.07,2603.0,907.0,Sports-Nutrition,4.3,0,1
"Muscletech, Essential Series, Platinum 100% Pure CLA, 800 mg, 90 Soft Gel Caps",19.95,259.0,0.8,Sports-Nutrition,4.5,0,1
"Primaforce, Citrulline Malate, Unflavored, 7.0 oz (200 g)",26.5,1627.0,200.0,Sports-Nutrition,4.6,0,1
"Muscletech, Nitro Tech, Whey Isolate + Lean Musclebuilder, Milk Chocolate, 10 lbs (4.54 kg)",135.67,3560.0,4540.0,Sports-Nutrition,4.6,0,1
"Pure Protein, Chocolate Peanut Caramel Bar, 12 Bars, 1.76 oz (50 g) Each",28.76,3270.0,50.0,Sports-Nutrition,4.5,0,1
"Sports Research, Liquid Elderberry Sambucus Complex Spray, 1,040 mg, 2 fl oz (60 ml)",14.74,3695.0,0.04,Sports-Nutrition,4.8,0,1
"California Gold Nutrition, HydrationUP, Electrolyte Drink Mix, Variety Pack, 20 Packets, 0.15 oz (4.2 g) Each",10.56,2054.0,4.2,Sports-Nutrition,4.5,0,1
"JNX Sports, The Ripper, Fat Burner, Pineapple Shred, 5.3 oz (150 g)",42.2,1411.0,150.0,Sports-Nutrition,4.3,0,1
"Lake Avenue Nutrition, Whey Protein Isolate, Creamy Chocolate, 2 lb (907 g)",45.23,522.0,907.0,Sports-Nutrition,4.4,0,1
"Cellucor, C4 Sport, Pre-Workout, Fruit Punch, 9.5 oz (270 g)",30.14,583.0,270.0,Sports-Nutrition,4.5,0,1
"Xtend, The Original 7G BCAA, Mango Madness, 14.8 oz (420 g)",37.67,3786.0,420.0,Sports-Nutrition,4.6,0,1
"Optimum Nutrition, Gold Standard 100% Whey, Vanilla Ice Cream, 5 lbs (2.27 kg)",112.27,3292.0,2270.0,Sports-Nutrition,4.6,0,1
"California Gold Nutrition, Foods, Mocha Nut Chewy Granola Bars, 12 Bars, 1.4 oz (40 g) Each",22.61,2407.0,40.0,Sports-Nutrition,4.5,0,1
"ALLMAX Nutrition, AMINOCORE Natural, Instantized BCAAs, Cranberry Apple, 10.5 g (0.37 oz)",3.02,78.0,10.5,Sports-Nutrition,4.1,0,1
"California Gold Nutrition, HydrationUP, Electrolyte Drink Mix Powder, Mixed Berry, 8 oz (227 g)",8.97,1004.0,227.0,Sports-Nutrition,4.6,0,1
"Now Foods, L-Arginine, 500 mg, 250 Veg Capsules",21.47,3147.0,0.5,Sports-Nutrition,4.7,0,1
"Orgain, Organic Protein Powder, Plant Based, Creamy Chocolate Fudge, 2.03 lbs (920 g)",53.91,851.0,920.0,Sports-Nutrition,4.4,0,1
"California Gold Nutrition, Cinnamon Bun Plant-Based Protein, Vegan, Easy to Digest, 2 lb (908 g)",36.18,1197.0,908.0,Sports-Nutrition,4.3,0,1
"California Gold Nutrition, L-Citrulline, 500 mg, 60 Veggie Capsules",9.05,985.0,0.5,Sports-Nutrition,4.7,0,1
"Muscletech, Nitro Tech, 100% Whey Gold, Double Rich Chocolate, 5.54 lbs (2.51 kg)",87.43,4193.0,2510.0,Sports-Nutrition,4.6,0,1
"ALLMAX Nutrition, Citrulline Malate, Unflavored, (300 g)",32.54,2501.0,300.0,Sports-Nutrition,4.8,0,1
"Quest Nutrition, Tortilla Style Protein Chips, Chili Lime, 12 Bags, 1.1 oz (32 g) Each",49.77,1060.0,32.0,Sports-Nutrition,4.5,0,1
"California Gold Nutrition, Vanilla Flavor Plant-Based Protein, Vegan, Easy to Digest, 2 lb (907 g)",33.17,1000.0,907.0,Sports-Nutrition,4.2,0,1
"California Gold Nutrition, HydrationUP, Electrolyte Drink Mix Powder, Grape, 8 oz (227 g)",8.97,596.0,227.0,Sports-Nutrition,4.6,0,1
"Xtend, The Original 7G BCAA, Lemon-Lime Squeeze, 14.8 oz (420 g)",37.67,2616.0,420.0,Sports-Nutrition,4.6,0,1
"Sports Research, CLA 1250, Max Potency, 1,250 mg, 180 Softgels",31.48,899.0,0.25,Sports-Nutrition,4.6,0,1
"Pure Protein, Chocolate Deluxe Bar, 12 Bars, 1.76 oz (50 g) Each",28.76,2335.0,50.0,Sports-Nutrition,4.1,0,1
"California Gold Nutrition, Micellar Casein Protein, Unflavored, Slow Absorption, 16 oz (454 g)",21.11,1143.0,454.0,Sports-Nutrition,4.5,0,1
"Garden of Life, RAW Organic Protein, Organic Plant Formula, Chocolate, 23.28 oz (660 g)",51.95,757.0,660.0,Sports-Nutrition,4.3,0,1
